Hackathon ID,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments
25057,recess-hacks-5-0,ZenSpace,"“Work hard, play hard. Discover places near you.”",https://devpost.com/software/zenspace,2,0,0
25057,recess-hacks-5-0,IndiePilot - Your Independence Copilot,"IndiePilot is a gamified independence copilot that empowers teens with budgeting, life quests, and safe peer support",https://devpost.com/software/indiepilot-your-independence-copilot,1,0,0
25057,recess-hacks-5-0,Finora,Finora gives teenagers financial freedom,https://devpost.com/software/finora-8p4w37,2,2,0
25057,recess-hacks-5-0,SmartCents,SmartCents: An AI-powered financial mentor helping teens turn cents into sense.,https://devpost.com/software/smartcents-xrtu4m,4,2,0
25057,recess-hacks-5-0,Researchly ai,Researchly.ai helps students write personalized emails to professors that actually get responses and land research opportunities. We're transforming how students connect with academic mentors,https://devpost.com/software/researchly-ai,1,0,0
25057,recess-hacks-5-0,ForgeLink,Cold emails that warm up: from research to relationships.,https://devpost.com/software/forgelink,2,0,0
25057,recess-hacks-5-0,Chorely - Youth Freelancing,"Freelance for youth, made easy. In a time where youth unemployment is skyrocketing, Chorely helps teens find available work and get paid fast.",https://devpost.com/software/chorely-youth-freelancing,2,2,0
25057,recess-hacks-5-0,Responsibility,"is a fun, terminal based interactive way of learning finances through managing a business!",https://devpost.com/software/responsibility-17h9pz,3,0,0
25057,recess-hacks-5-0,AutonoMeal,AutonoMeal: A gamified and personalized cooking app that teaches teens independence by helping them level up from simple meals to culinary confidence.,https://devpost.com/software/autonomeal,3,1,0
25057,recess-hacks-5-0,Taskify,"Stay on top of your tasks: prioritize, track, and prove completion all in one simple app.",https://devpost.com/software/taskify-4stjcx,4,4,0
25057,recess-hacks-5-0,First Step,"Small steps today, big independence tomorrow.",https://devpost.com/software/first-step-lf3k79,1,1,0
25057,recess-hacks-5-0,JobAI,A chat app with AI agents to help teens gain financial independence.,https://devpost.com/software/jobai,2,1,1
25057,recess-hacks-5-0,Aura,Aura - Accessible Urban Route Assistant - a mapping system for people with specific needs.,https://devpost.com/software/aura-vnm954,2,0,1
25057,recess-hacks-5-0,CardioAlert,"CardioAlert is a smart band that monitors heart rate, detects abnormalities, and sends GPS-based emergency alerts to contacts and services, ensuring faster response and saving lives.",https://devpost.com/software/cardioalert-dmlg6s,1,1,1
