Hackathon	Hackathon Slug	Project Title	Project Description	Project Link	Participants Count	Likes	Comments	Gallery URL
DevHacks	devhacksasu	Path2Pro	"Your skills shape your path to the dream job. Know where you stand and step right. No more lost applications—just Scan, Sync, and Skillup."	https://devpost.com/software/path2pro	1	4	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	MoodMaze	"MoodMaze: Understand your emotions through AI-powered journaling. Get insights, visualizations, and personalized suggestions from what you write."	https://devpost.com/software/moodmaze-mbvr7z	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Fírtreé	Discover How Green Companies Really Are	https://devpost.com/software/firtree	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Immerse.ai - Stories that you live.	Immerse in any story that YOU create. Choose your adventure. Live your imaginations.	https://devpost.com/software/tricode	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	D-SplitBill	"Imagine splitting bills with roommates in seconds—no spreadsheets, no stress. Just upload a receipt, select your items, and the app instantly calculates who owes what. Simple, fast, and fair."	https://devpost.com/software/d-splitbill	1	0	0	https://devhacksasu.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	BuildingDAO Democratic Desicion Making.	"In home buildings/country clubs, the administration has to make important decisions, they call a Vote the BuildingDAO contract. Owners vote with tokens that represent ownership of a home."	https://devpost.com/software/buildingdao-democratic-desicion-making	1	1	3	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	SMARTASSIST	"El 51% de los clientes están insatisfechos con la atención en redes sociales. SmartAssist mejora esta experiencia con IA y Blockchain, brindando soporte 24/7 y pagos seguros con contratos inteligentes"	https://devpost.com/software/smartassist-8mjku6	1	5	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	SmartHire	"SmartHire es una dApp de Gobernanza para DAOs que automatiza la contratación y tareas con contratos inteligentes en Solidity, Scaffold-ETH-2 y AccessControl, optimizando operaciones descentralizadas."	https://devpost.com/software/smarthire-tu40fc	1	13	1	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	FinanWork	"Plataforma que permite administrar ordenes de preventa, brindando apoyo a los pequeños productores (artesanales o de oficio) y emprendedores, a escalar su producción de manera previsible y ordenada."	https://devpost.com/software/finanwork	1	2	1	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	NativePlantchain	"NativePlantchain es un proyecto que incentiva a las personas a plantar especies nativas en sus respectivas eco-regiones, promoviendo la restauración de ecosistemas"	https://devpost.com/software/nativeplantchain	1	3	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Tokenización de activos inmobiliarios	La tokenización de activos inmobiliarios es un proceso en el que se representa la propiedad o participación en bienes raíces mediante tokens digitales basados en blockchain.	https://devpost.com/software/tokenizacion-de-activos-inmobiliarios	1	9	6	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	WildfireEye	WildfireEye es una dApp diseñada para detectar focos de incendio mediante el uso de drones entrenados con modelos de IA y la implementación de tecnología blockchain.	https://devpost.com/software/wildfireeye	1	5	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Good Numbers	GoodNumbers crea entropía en la Blockchain de manera descentralizada a través de agentes que compiten de manera adversarial o altruista para obtener premios o financiar proyectos sociales.	https://devpost.com/software/good-numbers	1	3	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
